fold,arm,d,max_features,M_blocks,r2,mae
2019Q3,aug@0.30,15,0.3,7,0.9213918930015648,0.02976438353333333
2019Q3,aug@0.40,15,0.4,7,0.9209851993254535,0.03019523664999999
2019Q3,aug@0.50,15,0.5,7,0.9207518975049391,0.030359827199999995
2019Q3,aug@0.60,15,0.6,7,0.9189246185815353,0.030602212043333334
2019Q3,aug@0.70,15,0.7,7,0.9193481480245,0.03069418353333333
2019Q3,aug@0.80,15,0.8,7,0.9191492136568855,0.030896339283333327
2019Q3,aug@0.90,15,0.9,7,0.9193541155449425,0.03080356878333333
2019Q3,aug@1.00,15,1.0,7,0.9181248351200302,0.031022315946666663
2019Q4,base-7,7,1.0,7,0.9096495324780988,0.033827651386666664
2019Q4,DynET,15,0.4666666666666667,7,0.9141158715181595,0.03377119249333334
2019Q4,aug@0.10,15,0.1,7,0.8378402653612642,0.0386119996
2019Q4,aug@0.20,15,0.2,7,0.9094247570774813,0.03335699104666666
2019Q4,aug@0.30,15,0.3,7,0.9139936261240991,0.032979031373333335
2019Q4,aug@0.40,15,0.4,7,0.9156724413553279,0.03331317752
2019Q4,aug@0.50,15,0.5,7,0.9141158715181595,0.03377119249333334
2019Q4,aug@0.60,15,0.6,7,0.9109803043472182,0.03441802189333333
2019Q4,aug@0.70,15,0.7,7,0.9124137255374012,0.03408671997333333
2019Q4,aug@0.80,15,0.8,7,0.9121228373017449,0.033963326419999995
2019Q4,aug@0.90,15,0.9,7,0.9121579481551388,0.03409138058666667
2019Q4,aug@1.00,15,1.0,7,0.9122724366636922,0.03399949359333333
2020Q1,base-7,7,1.0,7,0.5980323005474506,0.10084584055333333
2020Q1,DynET,15,0.4666666666666667,7,0.6308110692393124,0.09637199954
2020Q1,aug@0.10,15,0.1,7,0.5455424836352513,0.10541138505333333
2020Q1,aug@0.20,15,0.2,7,0.6200046800981178,0.09718595219333333
2020Q1,aug@0.30,15,0.3,7,0.6282084174877057,0.09647687472
2020Q1,aug@0.40,15,0.4,7,0.6321852381440536,0.09598145425999999
2020Q1,aug@0.50,15,0.5,7,0.6308110692393124,0.09637199954
2020Q1,aug@0.60,15,0.6,7,0.6268699661319903,0.09685481329333334
2020Q1,aug@0.70,15,0.7,7,0.6273589389654248,0.09678326477333332
2020Q1,aug@0.80,15,0.8,7,0.6281425203669257,0.09689587684
2020Q1,aug@0.90,15,0.9,7,0.6275861845552273,0.09701372118
