ticker,fold,model,M_blocks,d,n_train,n_test,r2,mae,rmse,fit_s
NVDA,2021Q2,GRU,8,7,30000,15000,0.7064387304521162,0.11329250456233661,0.1413097121407575,57.09978599999886
NVDA,2021Q2,iTransformer,8,7,30000,15000,0.7482846904917102,0.10685363024677151,0.1308511212237198,68.1890504160001
NVDA,2021Q2,FT-Transformer,8,7,30000,15000,0.832621352792609,0.08428048768582344,0.10670202457144105,93.06230470900118
NVDA,2021Q3,MLP,8,7,30000,15000,0.5195223789329169,0.11347159695054657,0.17202584156765766,2.1764615829997638
NVDA,2021Q3,LSTM,8,7,30000,15000,0.7159278716961044,0.06795180236810874,0.13227306632387073,61.10517837500083
NVDA,2021Q3,GRU,8,7,30000,15000,-0.37245732466137227,0.13724330400398063,0.29074116980910775,56.90972487500039
NVDA,2021Q3,iTransformer,8,7,30000,15000,0.872972189148876,0.06101431931202634,0.08845176750035347,67.7954492079989
NVDA,2021Q3,FT-Transformer,8,7,30000,15000,0.8384832537985671,0.07516980183128166,0.09973920158642434,92.82295737499953
NVDA,2021Q4,MLP,9,7,30000,15000,0.7737345495762659,0.07591265277574476,0.10787421661181824,1.6269643750019895
NVDA,2021Q4,LSTM,9,7,30000,15000,0.6096972169037329,0.08373330320241355,0.14168026375263618,61.873258084000554
NVDA,2021Q4,GRU,9,7,30000,15000,0.6476005865762762,0.08261932756211027,0.1346251254658975,56.9558992079983
NVDA,2021Q4,iTransformer,9,7,30000,15000,0.785821961911491,0.07333240310048803,0.10495327636098956,66.7848252090007
NVDA,2021Q4,FT-Transformer,9,7,30000,15000,0.8025977858063865,0.07261027379870541,0.10075916097978674,92.47626450000098
NVDA,2022Q1,MLP,7,7,30000,15000,0.7538480376597272,0.0838563887270776,0.12362121263720158,1.9436059999970894
NVDA,2022Q1,LSTM,7,7,30000,15000,0.706600352328542,0.09089227057727876,0.13496499477536986,60.35833866699977
NVDA,2022Q1,GRU,7,7,30000,15000,0.7132728519321473,0.09133108027328808,0.13342148058620298,57.367691374998685
NVDA,2022Q1,iTransformer,7,7,30000,15000,0.6813352027836796,0.10233175330587578,0.14065604223343042,68.1499001250013
NVDA,2022Q1,FT-Transformer,7,7,30000,15000,0.7105314217346126,0.09283731471132468,0.13405779206122118,92.96252945800006
NVDA,2022Q2,MLP,7,7,30000,15000,0.6151379563344352,0.13811370403420137,0.17710160192786606,2.66378270900168
NVDA,2022Q2,LSTM,7,7,30000,15000,0.688920451874288,0.1178214167399756,0.15922295452407015,61.37679562499761
NVDA,2022Q2,GRU,7,7,30000,15000,0.6922599307289931,0.11934611084330941,0.15836600904244502,56.605861000000004
NVDA,2022Q2,iTransformer,7,7,30000,15000,0.7076352403712299,0.1190631147311961,0.1543591791459156,67.52346083299926
NVDA,2022Q2,FT-Transformer,7,7,30000,15000,0.6849341735385687,0.125682157317496,0.1602398754451367,93.01861879100034
NVDA,2022Q3,MLP,7,7,30000,15000,0.7446643726912543,0.0994312251222586,0.1391390554910102,2.0320545840004343
