fold,region,arm,n,M_blocks,r2,mae
2018Q4,deep_ITM,DynET,2222,7,0.8819734691997402,0.07478761293129312
2019Q1,deep_OTM,base-7,3918,7,0.9760806077661862,0.024142864182406
2019Q1,deep_OTM,aug@1.00,3918,7,0.9797965768778314,0.02256407139697125
2019Q1,deep_OTM,DynET,3918,7,0.9810701476731066,0.021372292700357343
2019Q1,OTM,base-7,1689,7,0.549075635711441,0.03586132350503254
2019Q1,OTM,aug@1.00,1689,7,0.5996423494667984,0.03363145064140516
2019Q1,OTM,DynET,1689,7,0.6640418169839424,0.03015303232682059
2019Q1,ATM,base-7,733,7,0.17247929246324678,0.04017365957253297
2019Q1,ATM,aug@1.00,733,7,0.25391536034498596,0.03827498690313781
2019Q1,ATM,DynET,733,7,0.3588803368972373,0.035492237426102774
2019Q1,ITM,base-7,1529,7,0.7349053222668662,0.041119341944626124
2019Q1,ITM,aug@1.00,1529,7,0.7545238484226663,0.03955505947242207
2019Q1,ITM,DynET,1529,7,0.7769138787832437,0.03748802332679311
2019Q1,deep_ITM,base-7,2131,7,0.9080580170822589,0.06757237447207884
2019Q1,deep_ITM,aug@1.00,2131,7,0.9109649759297473,0.06746274728609415
2019Q1,deep_ITM,DynET,2131,7,0.9143604196955432,0.06578773740028153
2019Q2,deep_OTM,base-7,3387,7,0.9742141026973956,0.025095835901978152
2019Q2,deep_OTM,aug@1.00,3387,7,0.9758291885023342,0.02457214331266609
2019Q2,deep_OTM,DynET,3387,7,0.9775967914604451,0.023666833421907292
2019Q2,OTM,base-7,1732,7,0.44050716345751595,0.030428211778290977
2019Q2,OTM,aug@1.00,1732,7,0.4339434509471378,0.03062452220939183
2019Q2,OTM,DynET,1732,7,0.45421147974469767,0.02989748929946111
2019Q2,ATM,base-7,923,7,-0.2730025680012176,0.033687362007945094
2019Q2,ATM,aug@1.00,923,7,-0.2770999065244957,0.034157718671000356
2019Q2,ATM,DynET,923,7,-0.27282512648630064,0.03395153376670277
2019Q2,ITM,base-7,1695,7,0.7844795293738797,0.030267873510324488
2019Q2,ITM,aug@1.00,1695,7,0.772488763344263,0.03134228743362832
2019Q2,ITM,DynET,1695,7,0.7757388683446256,0.031080907138643067
2019Q2,deep_ITM,base-7,2263,7,0.8867307898928795,0.06772081835321844
2019Q2,deep_ITM,aug@1.00,2263,7,0.880624121942907,0.06934545567830314
2019Q2,deep_ITM,DynET,2263,7,0.8818021006254815,0.0689892803652968
2019Q3,deep_OTM,base-7,3206,7,0.9651803664302054,0.02433412005614473
2019Q3,deep_OTM,aug@1.00,3206,7,0.9690243857722503,0.023309293980037435
2019Q3,deep_OTM,DynET,3206,7,0.9704682532018203,0.022510833770014557
2019Q3,OTM,base-7,1897,7,0.62658204308245,0.024446962590054477
2019Q3,OTM,aug@1.00,1897,7,0.6251508774121601,0.024398150360217894
2019Q3,OTM,DynET,1897,7,0.636169796861007,0.024021626989984186
2019Q3,ATM,base-7,938,7,-0.24552420265557995,0.03026223980099501
2019Q3,ATM,aug@1.00,938,7,-0.25570190182781993,0.030090436815920385
2019Q3,ATM,DynET,938,7,-0.18492291505433722,0.0294325501066098
2019Q3,ITM,base-7,1751,7,0.7747344026387297,0.02895771776127927
2019Q3,ITM,aug@1.00,1751,7,0.7831037243631591,0.028235004188083005
2019Q3,ITM,DynET,1751,7,0.786610124188206,0.027817908852084527
2019Q3,deep_ITM,base-7,2208,7,0.8794912131356392,0.051411788043478256
2019Q3,deep_ITM,aug@1.00,2208,7,0.8842249043560745,0.05051899894323669
2019Q3,deep_ITM,DynET,2208,7,0.8877447610176057,0.049611694806763265
2019Q4,deep_OTM,base-7,3049,7,0.975708014308286,0.019318551612550573
2019Q4,deep_OTM,aug@1.00,3049,7,0.9747005560188842,0.01971473149666558
2019Q4,deep_OTM,DynET,3049,7,0.977862231498629,0.01894450442768121
2019Q4,OTM,base-7,1849,7,0.5614999490140009,0.029541893816477354
2019Q4,OTM,aug@1.00,1849,7,0.5455954993486698,0.030012253975121674
2019Q4,OTM,DynET,1849,7,0.5503689209580993,0.03000512529295114
2019Q4,ATM,base-7,1011,7,-0.3086853583733844,0.03965914592812398
2019Q4,ATM,aug@1.00,1011,7,-0.3952454780844177,0.04072707576656776
2019Q4,ATM,DynET,1011,7,-0.43280717318962036,0.04129436676557863
