ticker,fold,model,r2,mae,rmse,fit_s,M_blocks,d,search_s,params
TSLA,2021Q1,Dynamic ET (tuned),0.669160889773164,0.0993120822605265,0.13015377423404,1.3727247089991579,5,15,23.778490165997937,"{'tau': 0.5, 'leaf': 5, 'depth': None, 'split': 5}"
TSLA,2021Q1,Dynamic ET,0.6402759391443358,0.10274244680266667,0.13571663655807004,3.2849929579970194,7,15,0.0,
TSLA,2021Q2,Dynamic ET (tuned),0.46341884663387045,0.14482700593758907,0.170907650842521,1.5286839999971562,5,15,23.312551415998314,"{'tau': 0.5, 'leaf': 3, 'depth': 24, 'split': 5}"
TSLA,2021Q2,Dynamic ET,0.43675158489388644,0.14512855485266635,0.1751030805582863,3.2631668749963865,7,15,0.0,
TSLA,2021Q3,Dynamic ET (tuned),0.6591859672272719,0.15074473083055842,0.17481558608104147,1.3307021250002435,3,15,22.877279332999024,"{'tau': 0.5, 'leaf': 2, 'depth': 24, 'split': 5}"
TSLA,2021Q3,Dynamic ET,0.6707170635004445,0.1434590210146669,0.17183278517081943,3.251359166999464,7,15,0.0,
TSLA,2021Q4,Dynamic ET (tuned),0.4796545189748951,0.15372654808942893,0.1826112053536177,2.314013792005426,12,15,22.72574104200612,"{'tau': 0.9, 'leaf': 5, 'depth': None, 'split': 5}"
TSLA,2021Q4,Dynamic ET,0.44854936207602425,0.1572346558746672,0.18799004472833594,3.294346458998916,7,15,0.0,
TSLA,2022Q1,Dynamic ET (tuned),0.8105337796238528,0.06328082821301308,0.10237952467229473,1.2811024170005112,5,15,23.35841783300566,"{'tau': 0.5, 'leaf': 5, 'depth': None, 'split': 5}"
TSLA,2022Q1,Dynamic ET,0.7935279689422552,0.06710163541000004,0.10687541843414523,3.1895183339947835,7,15,0.0,
TSLA,2022Q2,Dynamic ET (tuned),0.7220953947493887,0.09771012959009763,0.1276753532222866,1.575500083003135,5,15,23.41344529199705,"{'tau': 0.5, 'leaf': 3, 'depth': None, 'split': 5}"
TSLA,2022Q2,Dynamic ET,0.7108824842471038,0.09940622062400004,0.13022560926473323,3.3091544159979094,7,15,0.0,
TSLA,2022Q3,Dynamic ET (tuned),0.8742895218444673,0.05545107339293722,0.08842233916823286,1.4858807080017868,6,15,23.001400125001965,"{'tau': 0.5, 'leaf': 5, 'depth': None, 'split': 5}"
TSLA,2022Q3,Dynamic ET,0.8612751001048676,0.05891818384733335,0.0928866864745302,3.285000084004423,7,15,0.0,
TSLA,2022Q4,Dynamic ET (tuned),0.9013900234310864,0.048438118300662227,0.08676084700704768,1.6966944579980918,8,15,22.98583083399717,"{'tau': 0.8, 'leaf': 5, 'depth': None, 'split': 5}"
TSLA,2022Q4,Dynamic ET,0.9102964890589824,0.04752653484466662,0.08275001402987876,3.227978917006112,7,15,0.0,
SPY,2021Q1,Dynamic ET (tuned),0.9431011043121975,0.024912728587698486,0.05690836557013909,1.6683163330017123,6,15,21.975132125000528,"{'tau': 0.7, 'leaf': 3, 'depth': None, 'split': 2}"
SPY,2021Q1,Dynamic ET,0.9386640997691812,0.025255525351333373,0.0590855885418692,3.159834083999158,7,15,0.0,
SPY,2021Q2,Dynamic ET (tuned),0.9343340464620167,0.028991125889607085,0.047500413151122134,1.6477420829978655,8,15,21.3042999590034,"{'tau': 0.85, 'leaf': 5, 'depth': 24, 'split': 5}"
SPY,2021Q2,Dynamic ET,0.9290891591921139,0.026869006599999815,0.04936095766993265,2.9231249160002335,6,15,0.0,
SPY,2021Q3,Dynamic ET (tuned),0.9337689931236552,0.021950247748016256,0.04756129854113604,1.6440671250020387,8,15,21.063142875005724,"{'tau': 0.85, 'leaf': 5, 'depth': 24, 'split': 5}"
SPY,2021Q3,Dynamic ET,0.9354961372926284,0.022163310372666684,0.04693706029463251,2.8374864580036956,6,15,0.0,
SPY,2021Q4,Dynamic ET (tuned),0.9283698262934877,0.023911939043514206,0.05671719133046095,2.2794154590010294,13,15,20.944526625004073,"{'tau': 0.95, 'leaf': 5, 'depth': 24, 'split': 5}"
SPY,2021Q4,Dynamic ET,0.9250879698029774,0.02413142993066667,0.058001937038993055,2.885693500000343,6,15,0.0,
SPY,2022Q1,Dynamic ET (tuned),0.8568937433119274,0.0419322778965396,0.06647655773129103,2.1640154170017922,9,15,20.50081987500016,"{'tau': 0.9, 'leaf': 3, 'depth': None, 'split': 2}"
SPY,2022Q1,Dynamic ET,0.8585063793661074,0.041383853888,0.06610094096620436,3.0004096670018043,6,15,0.0,
SPY,2022Q2,Dynamic ET (tuned),0.8174350914062459,0.04999846761272221,0.07492441876221133,2.709275790999527,9,15,20.189717667002697,"{'tau': 0.9, 'leaf': 1, 'depth': None, 'split': 5}"
SPY,2022Q2,Dynamic ET,0.8148877337855658,0.05021419224266664,0.07544532423814092,2.9960380409975187,6,15,0.0,
SPY,2022Q3,Dynamic ET (tuned),0.8824746528791508,0.032022570263802945,0.05534826010635926,2.1806822919970728,7,15,21.01325058400107,"{'tau': 0.8, 'leaf': 1, 'depth': 24, 'split': 5}"
SPY,2022Q3,Dynamic ET,0.8816002370175355,0.03202866036066666,0.0555537804860484,3.1973957079972024,7,15,0.0,
SPY,2022Q4,Dynamic ET (tuned),0.9124222677689688,0.026504844201944457,0.05028155636288102,2.4523327499991865,8,15,21.743775999995705,"{'tau': 0.85, 'leaf': 1, 'depth': None, 'split': 5}"
SPY,2022Q4,Dynamic ET,0.9093554998257541,0.02664534672266666,0.05115435270580152,3.1095058339997195,7,15,0.0,
