fold,region,arm,n,M_blocks,r2,mae
2018Q3,deep_OTM,ET-12,5690,13,0.9970900873843248,0.02083181511599292
2018Q3,deep_OTM,ET-20,5690,13,0.9974948493126703,0.018541235729349757
2018Q3,deep_OTM,DynET,5690,13,0.9973323167613322,0.019196369272407716
2018Q3,OTM,ET-12,2361,13,0.8866899525614355,0.015317981579839008
2018Q3,OTM,ET-20,2361,13,0.9262888619882369,0.012545288005082566
2018Q3,OTM,DynET,2361,13,0.9023091678674522,0.014401583468869082
2018Q3,ATM,ET-12,1177,13,0.778046354720299,0.014643939906542128
2018Q3,ATM,ET-20,1177,13,0.779012039334251,0.01471948357689049
2018Q3,ATM,DynET,1177,13,0.7280208875599639,0.016064215361087528
2018Q3,ITM,ET-12,2164,13,0.9102504825453174,0.01928665400184835
2018Q3,ITM,ET-20,2164,13,0.9389975416885515,0.01708135178835483
2018Q3,ITM,DynET,2164,13,0.9324888118052693,0.018014853294824357
2018Q3,deep_ITM,ET-12,3608,13,0.9829756253026343,0.04883490055155188
2018Q3,deep_ITM,ET-20,3608,13,0.9874406037170143,0.040937515049888976
2018Q3,deep_ITM,DynET,3608,13,0.987381299432559,0.03950061201219506
2018Q4,deep_OTM,ET-12,5965,15,0.988009175859244,0.03444098915507119
2018Q4,deep_OTM,ET-20,5965,15,0.9913963884334229,0.033367007133277456
2018Q4,deep_OTM,DynET,5965,15,0.9908833432189726,0.033548784283319345
2018Q4,OTM,ET-12,2223,15,0.63195493001226,0.033805636329284676
2018Q4,OTM,ET-20,2223,15,0.6502179469318261,0.03316603179487172
2018Q4,OTM,DynET,2223,15,0.6154380456259444,0.0347187614754835
2018Q4,ATM,ET-12,1130,15,0.4404333056080617,0.037317611442477916
2018Q4,ATM,ET-20,1130,15,0.40202715657932897,0.03876431861946911
2018Q4,ATM,DynET,1130,15,0.3544916574221304,0.04028557572566376
2018Q4,ITM,ET-12,2167,15,0.8536246675155996,0.030941822884171594
2018Q4,ITM,ET-20,2167,15,0.8455775429128727,0.032186044854637705
