setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,101,"12,110 American",Dynamic ET,ITM,1586,15.0,-1.100657849889151,0.1842503306389239,
transfer,101,"12,110 American",Dynamic ET,deep ITM,3707,15.0,-0.7425467083836521,0.18412372771882035,
transfer,101,held out,ET-aug,all,887,,0.8038322429384716,0.05074949201803816,"{'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,held out,ET-aug,OTM,276,,0.7389708168244968,0.053264673514492475,
transfer,101,held out,ET-aug,ATM,305,,0.8729104716725122,0.03984769363934408,
transfer,101,held out,ET-aug,ITM,292,,0.8118952703204101,0.057661014965753356,
transfer,101,2017 European,ET-aug,all,1700,,0.09418470129196688,0.10069750142941161,"{'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,2017 European,ET-aug,OTM,412,,0.46328152973682446,0.07810943087378626,
transfer,101,2017 European,ET-aug,ATM,772,,-0.1398785456093239,0.10110451773316055,
transfer,101,2017 European,ET-aug,ITM,494,,-0.04299562855713823,0.118564690425101,
transfer,101,"12,110 American",ET-aug,all,11563,,-0.5116032233882206,0.1841646593397906,"{'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,"12,110 American",ET-aug,deep OTM,2524,,-0.23882164722162802,0.17718904543066555,
transfer,101,"12,110 American",ET-aug,OTM,1812,,-0.8876796091639008,0.18989180321467986,
transfer,101,"12,110 American",ET-aug,ATM,1934,,-1.1671805851931274,0.17205226933712503,
transfer,101,"12,110 American",ET-aug,ITM,1586,,-1.2064890055387725,0.18793370039028975,
transfer,101,"12,110 American",ET-aug,deep ITM,3707,,-0.8480760487725032,0.19082139739330975,
transfer,101,held out,ET,all,887,,0.8416162974560515,0.04786095940435919,"{'max_features': 0.85, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,held out,ET,OTM,276,,0.8058433680602298,0.050249748463164094,
transfer,101,held out,ET,ATM,305,,0.8690561739369522,0.039900152270491714,
transfer,101,held out,ET,ITM,292,,0.858046847912965,0.05174116865582194,
