fold,model,enc,k,M,d,r2,mae,secs
2019Q1,FT-Transformer,,0,7,0,0.9180653827021414,0.038065216794313746,97.43755404197145
2019Q1,SVI,,0,7,0,0.7361973480131616,0.08009112026828565,3.210920790967066
2019Q2,DynET-mer (searched),FT-32x2,16,9,31,0.9294135896130572,0.035950003582333356,238.914475166006
2019Q2,Dynamic ET,,0,7,0,0.9267657197414717,0.0358039340703334,3.305150250031147
2019Q2,ET,,0,7,0,0.9289333105073122,0.0359736960430001,3.0467499580117874
2019Q2,RF,,0,7,0,0.9206011081697415,0.036727623059955083,1.5047914999886416
2019Q2,FT-Transformer,,0,7,0,0.9222346422716117,0.03836398851339691,105.64678650000133
2019Q2,SVI,,0,7,0,0.7453717286872007,0.07159964873322996,3.142619249993004
2019Q3,DynET-mer (searched),iT-64x2,16,11,31,0.9198813561295096,0.030489139796333286,237.6288583750138
2019Q3,Dynamic ET,,0,7,0,0.9270513159463905,0.029892577990666604,3.1718308749841526
2019Q3,ET,,0,7,0,0.9251111162203853,0.03085663650299993,3.074894041987136
2019Q3,RF,,0,7,0,0.9306424157653053,0.02965666990600447,1.4291927499580197
2019Q3,FT-Transformer,,0,7,0,0.9176345683401868,0.030245729336903573,105.91014245798578
2019Q3,SVI,,0,7,0,0.7274712720415265,0.061805637604244026,3.343588874966372
2019Q4,DynET-mer (searched),iT-32x3,4,8,19,0.9115631261242103,0.03593735476799993,264.8996798750013
2019Q4,Dynamic ET,,0,7,0,0.9196306625272056,0.032629098739333284,3.1424001670093276
2019Q4,ET,,0,7,0,0.9180173132451703,0.03202995341399993,3.074929374968633
2019Q4,RF,,0,7,0,0.9207857944366955,0.03370103139998131,1.4516823329613544
2019Q4,FT-Transformer,,0,7,0,0.9100960032432389,0.03671952143572553,104.20758720801678
2019Q4,SVI,,0,7,0,0.752643366466361,0.06371271067777867,3.549632291018497
2020Q1,DynET-mer (searched),FT-32x2,16,8,31,0.6133224932805428,0.10368709540266662,233.28970133303665
2020Q1,Dynamic ET,,0,7,0,0.6282163321332541,0.097947748438,3.3513350839493796
2020Q1,ET,,0,7,0,0.5998407743079772,0.1019394015233333,3.0328317080275156
2020Q1,RF,,0,7,0,0.6067501452504795,0.10194781613209637,1.4803056670352817
2020Q1,FT-Transformer,,0,7,0,0.5900353652052088,0.11048816397817421,104.89632291696034
2020Q1,SVI,,0,7,0,0.5365375477064155,0.11628374247763923,3.6026118750451133
2020Q2,DynET-mer (searched),iT-32x3,8,8,23,0.8843117562685245,0.061289938732000095,260.948491249932
2020Q2,Dynamic ET,,0,7,0,0.8765776211620874,0.06125752641900009,3.2534139580093324
2020Q2,ET,,0,7,0,0.8747925576589319,0.061456501310333395,3.1233472090098076
2020Q2,RF,,0,7,0,0.8759423943887853,0.06240529072254916,1.4409096669987775
2020Q2,FT-Transformer,,0,7,0,0.8771747102216725,0.06341320019843959,104.8259975410183
2020Q2,SVI,,0,7,0,0.7680507242536672,0.07839526383993134,3.241866750002373
2020Q3,DynET-mer (searched),FT-32x2,16,9,31,0.7157289762469482,0.09572766796866672,236.48652712500188
2020Q3,Dynamic ET,,0,7,0,0.7594092672382147,0.09145763003200003,3.191907499975059
2020Q3,ET,,0,7,0,0.7607991965405005,0.08892710335466669,3.033375166996848
2020Q3,RF,,0,7,0,0.7287512254528106,0.09561374213366317,1.466585166985169
2020Q3,FT-Transformer,,0,7,0,0.7057744664870258,0.1004648977665968,104.6426623329753
2020Q3,SVI,,0,7,0,0.6614912291206275,0.10502277859276207,3.649249416019302
2020Q4,DynET-mer (searched),FT-32x2,16,8,31,0.777280982422488,0.08123791189999989,233.3983842920279
2020Q4,Dynamic ET,,0,8,0,0.7387191400972912,0.08819542070333315,3.369798667030409
2020Q4,ET,,0,8,0,0.7113500379710618,0.09472998700599983,3.13995966600487
2020Q4,RF,,0,8,0,0.6869510235557286,0.09646248558226074,1.441446624987293
2020Q4,FT-Transformer,,0,8,0,0.7840371038466926,0.07634363491926766,103.84060295799281
2020Q4,SVI,,0,8,0,0.7123618806824104,0.07880630784662035,3.8987336669815704
