B,rho,seed,d,eff_rank,redundancy,all,block-rule,gain
3,0.99,0,30,3.2203846031328935,0.8926538465622369,0.9759765985618357,0.9756404309904871,-0.0003361675713485779
3,0.99,1,30,3.2202271906174165,0.8926590936460861,0.9804232871567915,0.9825111743069043,0.002087887150112766
3,0.99,2,30,3.2180059975367263,0.8927331334154425,0.9825733866399254,0.9831936739135292,0.0006202872736037479
3,0.99,3,30,3.219811158446853,0.8926729613851049,0.9778964609377542,0.9784759597455204,0.0005794988077661989
3,0.99,4,30,3.221835118118252,0.892605496062725,0.9829022753343675,0.9833102942241979,0.00040801888983044154
5,0.0,0,30,29.892183441510987,0.003593885282967113,-0.020913831292658003,-0.009224229448853372,0.011689601843804631
5,0.0,1,30,29.886416489987575,0.003786117000414202,-0.019738220557871333,-0.006336617235043418,0.013401603322827915
5,0.0,2,30,29.90126425792446,0.00329119140251799,-0.01978322114307285,-0.00995734993919939,0.00982587120387346
5,0.0,3,30,29.8867001133804,0.003776662887320037,-0.01783774102554969,-0.011254251040930141,0.0065834899846195505
5,0.0,4,30,29.873918485189208,0.0042027171603596924,-0.031613573623151536,-0.0157615972397962,0.015851976383355337
5,0.3,0,30,25.241911883596618,0.1586029372134461,0.4342046918363287,0.3980227427045627,-0.03618194913176598
5,0.3,1,30,25.188203669557403,0.16039321101475323,0.4410788616421788,0.40200545587974834,-0.03907340576243046
5,0.3,2,30,25.173844867205315,0.16087183775982283,0.45723150873628027,0.42423838911980727,-0.032993119616473
5,0.3,3,30,25.13907314632425,0.162030895122525,0.4638629603176083,0.4291762612424672,-0.0346866990751411
5,0.3,4,30,25.144152357865917,0.16186158807113615,0.46042503603861307,0.4252947902588129,-0.03513024577980017
5,0.6,0,30,16.218427910917693,0.4593857363027436,0.7017355812840333,0.6785203672095531,-0.02321521407448024
5,0.6,1,30,16.20351266675735,0.4598829111080883,0.7084659806417,0.683368851306509,-0.025097129335190926
5,0.6,2,30,16.144679858497252,0.46184400471675824,0.723693685977837,0.704165203312612,-0.019528482665225
5,0.6,3,30,16.133781218304172,0.4622072927231943,0.7306191575949683,0.7050307177975204,-0.02558843979744796
5,0.6,4,30,16.13019374737424,0.46232687508752535,0.7280288199610729,0.705673435272657,-0.022355384688415914
5,0.8,0,30,10.295118115417713,0.6568293961527429,0.8356734923227932,0.8210001315336359,-0.014673360789157264
5,0.8,1,30,10.294975658425704,0.6568341447191433,0.8442334193864585,0.8311042430242938,-0.013129176362164707
