ticker,fold,model,days,gross,sd,net25,net50,c25,c50
NVDA,2021Q2,ET,62,0.0005906842592406652,0.004162599195937044,-0.005202867135808126,-0.010996418530856918,0.0057935513950487915,0.011587102790097583
NVDA,2021Q3,Dynamic ET,62,0.0033883313502933825,0.004047955647835244,-0.005014472641791889,-0.013417276633877158,0.008402803992085272,0.016805607984170544
NVDA,2021Q3,ET-aug,62,0.0031136648633013127,0.00389194559211192,-0.005224627051308023,-0.013562918965917357,0.008338291914609336,0.01667658382921867
NVDA,2021Q3,ET,62,0.003717125633928906,0.004309573640843937,-0.004239178668404594,-0.012195482970738095,0.007956304302333503,0.015912608604667006
NVDA,2021Q4,Dynamic ET,63,0.0036740928508237425,0.015066640944560868,-0.018089656039986364,-0.03985340493079646,0.021763748890810106,0.04352749778162021
NVDA,2021Q4,ET-aug,63,0.003761721431256877,0.015186990536855132,-0.018207831829098926,-0.04017738508945473,0.021969553260355806,0.04393910652071161
NVDA,2021Q4,ET,63,0.003900341606615181,0.015083398703218715,-0.018224786837738628,-0.04034991528209243,0.022125128444353805,0.04425025688870761
NVDA,2022Q1,Dynamic ET,63,0.0017982128318240278,0.010217177207651642,-0.010986859767484636,-0.023771932366793307,0.012785072599308668,0.025570145198617337
NVDA,2022Q1,ET-aug,63,0.0020130172605749047,0.010313446949349554,-0.010850303328951613,-0.023713623918478127,0.012863320589526517,0.025726641179053034
NVDA,2022Q1,ET,63,0.0021448832017989692,0.010509710588260036,-0.011087407301861314,-0.0243196978055216,0.01323229050366029,0.02646458100732058
NVDA,2022Q2,Dynamic ET,61,0.002373624400666993,0.010294313524665165,-0.02756197803292638,-0.05749758046651975,0.029935602433593375,0.05987120486718675
NVDA,2022Q2,ET-aug,61,0.0024605382994207655,0.010340659571704387,-0.027684363286297597,-0.05782926487201596,0.030144901585718354,0.06028980317143671
NVDA,2022Q2,ET,61,0.0025448925447666302,0.010540123147122207,-0.028594732083094564,-0.059734356710955755,0.031139624627861188,0.062279249255722376
NVDA,2022Q3,Dynamic ET,64,0.005257958810409946,0.009577475036176772,-0.02008630557732349,-0.04543056996505693,0.025344264387733437,0.050688528775466875
NVDA,2022Q3,ET-aug,64,0.0052729820008715345,0.00986607179507422,-0.019835813250303917,-0.044944608501479376,0.02510879525117545,0.0502175905023509
NVDA,2022Q3,ET,64,0.005255137198446937,0.010164632732515555,-0.020272073221421986,-0.045799283641290905,0.025527210419868926,0.05105442083973785
