fold,arm,d,max_features,M_blocks,n_train,n_test,r2,mae,rmse,secs
2019Q2,DynET,20,0.65,13,30000,15000,0.990812601771888,0.014038525254666697,0.032290029599049155,4.484164665977005
2019Q2,ET-20@0.10,20,0.1,13,30000,15000,0.9732410814121337,0.021522588009333345,0.0551069597406302,1.652501749980729
2019Q2,ET-20@0.20,20,0.2,13,30000,15000,0.9847015422000317,0.016862396864666677,0.04166736134458671,2.33443458302645
2019Q2,ET-20@0.30,20,0.3,13,30000,15000,0.9880933199947739,0.015255757712666684,0.036759323773388516,2.672691916988697
2019Q2,ET-20@0.40,20,0.4,13,30000,15000,0.9894718269488515,0.014588629032666684,0.03456596452356195,3.2261846250039525
2019Q2,ET-20@0.50,20,0.5,13,30000,15000,0.9903244669961825,0.014198293638666681,0.0331367279152232,3.65937812498305
2019Q2,ET-20@0.60,20,0.6,13,30000,15000,0.9907902014807357,0.014027776157333343,0.03232936966574467,4.242606999992859
2019Q2,ET-20@0.70,20,0.7,13,30000,15000,0.990842731723256,0.014031605917333354,0.0322370387544878,4.8745594170177355
2019Q2,ET-20@0.80,20,0.8,13,30000,15000,0.9913590159407448,0.013888587744666689,0.03131509794913595,5.524119583016727
2019Q2,ET-20@0.90,20,0.9,13,30000,15000,0.9915055113851515,0.013841704130666689,0.03104851202314178,5.533490291039925
2019Q2,ET-20@1.00,20,1.0,13,30000,15000,0.9916310101077672,0.01381478794200005,0.030818301111330677,6.081171124998946
2019Q2,ET-12@0.30,12,0.3,13,30000,15000,0.9641119954347552,0.023180033419333366,0.06381853467407604,2.022292249952443
2019Q2,ET-12@0.50,12,0.5,13,30000,15000,0.9810197806151573,0.017676460644666676,0.04641119880775464,2.6879113749600947
2019Q2,ET-12@0.70,12,0.7,13,30000,15000,0.9848987956371278,0.016341247474666684,0.04139786699671885,3.2437219580169767
2019Q3,ET-12,12,1.0,13,30000,15000,0.9883654711882977,0.013076582431999984,0.02851221866681297,4.498529292002786
2019Q3,DynET,20,0.65,13,30000,15000,0.990866104756145,0.012421983389999976,0.025262982809878355,4.592879500007257
2019Q3,ET-20@0.10,20,0.1,13,30000,15000,0.9755386308206857,0.018288390798,0.04134252469228742,1.6873117909999564
2019Q3,ET-20@0.20,20,0.2,13,30000,15000,0.9857952800365781,0.014737058832666666,0.031504526121651485,2.205513582972344
2019Q3,ET-20@0.30,20,0.3,13,30000,15000,0.9887531742674727,0.013490577935999984,0.02803313034135743,2.7162387919961475
2019Q3,ET-20@0.40,20,0.4,13,30000,15000,0.9897489688503613,0.013005097234666647,0.02676334484273902,3.357372874976136
2019Q3,ET-20@0.50,20,0.5,13,30000,15000,0.9903485919495475,0.012663132885333305,0.025968804212605914,3.9145545420469716
2019Q3,ET-20@0.60,20,0.6,13,30000,15000,0.9908095980711575,0.012541292002666654,0.025341006825542915,4.1623179169837385
2019Q3,ET-20@0.70,20,0.7,13,30000,15000,0.9907983717498067,0.012424018542666638,0.025356479460162274,4.562210500007495
2019Q3,ET-20@0.80,20,0.8,13,30000,15000,0.9911244533448157,0.012357768895333316,0.024903143376795188,5.333038249984384
2019Q3,ET-20@0.90,20,0.9,13,30000,15000,0.9913256401754683,0.012247745605999966,0.024619278999200137,5.852011709008366
2019Q3,ET-20@1.00,20,1.0,13,30000,15000,0.9914073679208347,0.012234624253999972,0.024503026042519666,6.343604207970202
2019Q3,ET-12@0.30,12,0.3,13,30000,15000,0.9726846950093248,0.018319092959333344,0.04368774618274788,2.1305569160031155
2019Q3,ET-12@0.50,12,0.5,13,30000,15000,0.9844885528499955,0.014433778439999989,0.032921739344409236,2.6188325829571113
2019Q3,ET-12@0.70,12,0.7,13,30000,15000,0.9864494957159432,0.013584584868666646,0.030770485049116666,3.2189680409501307
2019Q4,ET-12,12,1.0,13,30000,15000,0.9668288426509508,0.03065705183266665,0.06119310381577936,4.257678708003368
2019Q4,DynET,20,0.65,13,30000,15000,0.9773022529749553,0.02712989132666662,0.050618998148511306,4.5718707499909215
2019Q4,ET-20@0.10,20,0.1,13,30000,15000,0.9409378935502757,0.03719024078799996,0.08165384417921619,1.7148460419848561
2019Q4,ET-20@0.20,20,0.2,13,30000,15000,0.9621870774928296,0.0323961409893333,0.06533445790601855,2.234026832971722
2019Q4,ET-20@0.30,20,0.3,13,30000,15000,0.9694872299326104,0.030364702401999955,0.05868984842245591,2.6303277920233086
2019Q4,ET-20@0.40,20,0.4,13,30000,15000,0.973115183987782,0.02917343948399996,0.05509037188104991,3.2099437090219
2019Q4,ET-20@0.50,20,0.5,13,30000,15000,0.9747687786283493,0.02837341439999995,0.05336927543616489,3.761275583994575
2019Q4,ET-20@0.60,20,0.6,13,30000,15000,0.9767291530814891,0.027474924374666632,0.05125405898034457,4.163786625023931
2019Q4,ET-20@0.70,20,0.7,13,30000,15000,0.9777386286997887,0.026890390673999946,0.05013004868209926,4.598622040997725
2019Q4,ET-20@0.80,20,0.8,13,30000,15000,0.9789086839991777,0.02657713698733329,0.04879485243654121,5.183716874977108
2019Q4,ET-20@0.90,20,0.9,13,30000,15000,0.9794100819336178,0.02627723607799995,0.048211370676932645,5.669789082952775
2019Q4,ET-20@1.00,20,1.0,13,30000,15000,0.9797873299171462,0.026197304615999936,0.04776766510368012,6.507457166968379
2019Q4,ET-12@0.30,12,0.3,13,30000,15000,0.9283727218456461,0.038869162617999956,0.0899210550367342,1.8740733340382576
2019Q4,ET-12@0.50,12,0.5,13,30000,15000,0.9546378555013647,0.03366869255133334,0.07155977370540763,2.8425318339723162
2019Q4,ET-12@0.70,12,0.7,13,30000,15000,0.9608462224312198,0.03239094147333333,0.06648275443523352,3.0142726250342093
2020Q1,ET-12,12,1.0,13,30000,15000,0.8591815830995341,0.07263356072733332,0.12690674550705916,4.317584666016046
2020Q1,DynET,20,0.65,13,30000,15000,0.8606143345654397,0.0736919885513333,0.12625949107651946,4.259210166987032
2020Q1,ET-20@0.10,20,0.1,13,30000,15000,0.8025640434115204,0.08439531262733331,0.15026855223095856,1.6005547500099055
2020Q1,ET-20@0.20,20,0.2,13,30000,15000,0.8336345351894194,0.07818925411,0.1379388391982838,2.05571600003168
2020Q1,ET-20@0.30,20,0.3,13,30000,15000,0.8452435585736563,0.07592612104866664,0.13303911445000774,2.814484124945011
2020Q1,ET-20@0.40,20,0.4,13,30000,15000,0.850537333676782,0.07528909186599994,0.1307438714941237,3.0658504579914734
2020Q1,ET-20@0.50,20,0.5,13,30000,15000,0.8569621591012522,0.07390157920199998,0.12790291752928257,3.5532381249940954
2020Q1,ET-20@0.60,20,0.6,13,30000,15000,0.8620022565774359,0.07302700252399998,0.1256293088323526,4.245116500009317
2020Q1,ET-20@0.70,20,0.7,13,30000,15000,0.8640193872786311,0.07279669517599997,0.12470775897849609,4.550787499989383
2020Q1,ET-20@0.80,20,0.8,13,30000,15000,0.8663428011924926,0.07230164640799994,0.1236377677927473,5.08473766600946
2020Q1,ET-20@0.90,20,0.9,13,30000,15000,0.8681126336614735,0.07186428275733331,0.12281646019301307,5.828140917001292
