fold,seed,model,M_blocks,d,r2,mae,secs
2019Q4,101,Dynamic ET,7,15,0.9143507701219047,0.03320276820566664,2.9166257079923525
2019Q4,101,ET-aug,7,15,0.9123719940684746,0.033644110358666636,5.001519707991974
2019Q4,101,BF-default,7,15,0.9081579545718045,0.03415805329000555,21.10531070799334
2019Q4,2024,Dynamic ET,7,15,0.9149157326980749,0.033043381570333305,2.9768998329964234
2019Q4,2024,ET-aug,7,15,0.9127823621443898,0.03359976527066664,4.913581957996939
2019Q4,2024,BF-default,7,15,0.9077277087317259,0.03412201968110625,21.212753083003918
2019Q4,13,Dynamic ET,7,15,0.9149249300089253,0.03294356990399997,3.0224280419934075
2019Q4,13,ET-aug,7,15,0.9129021624434202,0.0336399297843333,4.930323999986285
2019Q4,13,BF-default,7,15,0.9078264509455911,0.03438312736759491,21.298793458001455
2020Q1,42,Dynamic ET,7,15,0.6320320598156036,0.09775645245066668,2.9920892499940237
2020Q1,42,ET-aug,7,15,0.6295584910125774,0.09839996196266666,4.723884208011441
2020Q1,42,BF-default,7,15,0.6060278892477081,0.09876675739584377,20.92223029199522
2020Q1,7,Dynamic ET,7,15,0.6327394296943065,0.09768573911833334,3.059261709000566
2020Q1,7,ET-aug,7,15,0.6301409439113893,0.09833922239333333,4.92378962499788
2020Q1,7,BF-default,7,15,0.6047278107609781,0.09884678803420223,20.964975416995003
2020Q1,101,Dynamic ET,7,15,0.6318937470493996,0.097780567362,2.929123583002365
2020Q1,101,ET-aug,7,15,0.6288357193971666,0.09852769663166669,5.0255685000011
2020Q1,101,BF-default,7,15,0.606771631643084,0.09868117940737138,20.943116916998406
2020Q1,2024,Dynamic ET,7,15,0.6321515907931755,0.09774951332533334,2.9142659589997493
2020Q1,2024,ET-aug,7,15,0.6295998011858881,0.09845023889900002,4.68343029099924
2020Q1,2024,BF-default,7,15,0.6053349906505046,0.09872625887731377,20.992256541008828
2020Q1,13,Dynamic ET,7,15,0.6329176256865349,0.09774084677400001,2.919165500003146
2020Q1,13,ET-aug,7,15,0.6287157377900165,0.09848783668066666,4.558075792010641
2020Q1,13,BF-default,7,15,0.603595476032059,0.09888963922366253,20.96771104200161
2020Q2,42,Dynamic ET,7,15,0.8862312640923662,0.06091069515666667,2.954798959006439
2020Q2,42,ET-aug,7,15,0.8839545470260743,0.061295361563333345,4.770141333996435
2020Q2,42,BF-default,7,15,0.8785760849106302,0.06049212565775704,21.443070334004005
2020Q2,7,Dynamic ET,7,15,0.8871741713886272,0.06080878190733334,2.944584416007274
2020Q2,7,ET-aug,7,15,0.88379640484184,0.06130134934,5.144219958994654
2020Q2,7,BF-default,7,15,0.8780103592304909,0.06043219180493073,21.55542908400821
2020Q2,101,Dynamic ET,7,15,0.8870959127230795,0.060833499880666685,3.183588875006535
2020Q2,101,ET-aug,7,15,0.8835164494989389,0.06136617236066666,4.999231541005429
2020Q2,101,BF-default,7,15,0.8784845140054063,0.06056883909793288,21.4718387920002
2020Q2,2024,Dynamic ET,7,15,0.8864018377209686,0.060887208261999996,2.9579047500010347
