fold,model,region,n,r2,mae
2018Q4,BF-varsel,OTM,2827,-0.13822779236222793,0.0691893526209502
2018Q4,BF-varsel,ATM,1242,-1.302456766569473,0.08405190138467139
2018Q4,BF-varsel,ITM,2211,0.1666520772832415,0.07109345594791197
2018Q4,BF-varsel,deep_ITM,3428,0.8808057079977738,0.0739870238535589
2018Q4,BF-corr,deep_OTM,5292,0.9306563425189897,0.039808182706602115
2018Q4,BF-corr,OTM,2827,-0.13173798461316255,0.06850604229428225
2018Q4,BF-corr,ATM,1242,-1.4075770784424053,0.0860310458533234
2018Q4,BF-corr,ITM,2211,0.1789900213067257,0.07051004424577127
2018Q4,BF-corr,deep_ITM,3428,0.8757835537883742,0.07409339580683744
2019Q1,Dynamic ET,deep_OTM,5494,0.9813504263603848,0.020897887975063735
2019Q1,Dynamic ET,OTM,2750,0.6653046673757692,0.032134255443636316
2019Q1,Dynamic ET,ATM,1171,0.34473579820932776,0.03949804812553375
2019Q1,Dynamic ET,ITM,2148,0.6935337074809821,0.04093404140828685
2019Q1,Dynamic ET,deep_ITM,3437,0.904722535673048,0.06484084841431478
2019Q1,ET-aug,deep_OTM,5494,0.9792838909150592,0.022358651810156567
2019Q1,ET-aug,OTM,2750,0.6008774938062725,0.03555282041454546
2019Q1,ET-aug,ATM,1171,0.22788402321406176,0.04288986261315119
2019Q1,ET-aug,ITM,2148,0.6583641981377533,0.04362828649674122
2019Q1,ET-aug,deep_ITM,3437,0.9037401679113268,0.06642965508874009
2019Q1,BF-varsel,deep_OTM,5494,0.9818995993394178,0.02045811704192599
2019Q1,BF-varsel,OTM,2750,0.6928473438052014,0.030510001586270732
2019Q1,BF-varsel,ATM,1171,0.4238916415581856,0.03695657150370059
2019Q1,BF-varsel,ITM,2148,0.7039578049076045,0.04001956285614533
2019Q1,BF-varsel,deep_ITM,3437,0.9048399383685829,0.0646616635675492
2019Q1,BF-corr,deep_OTM,5494,0.9781904211413609,0.021440845882466586
2019Q1,BF-corr,OTM,2750,0.6556040037405408,0.03279871468607445
2019Q1,BF-corr,ATM,1171,0.34838714273761895,0.03947089303054842
