fold,seed,model,r2,mae,secs
2019Q2,7,ET-aug,0.9198150729784343,0.036665090014,5.2727683749981225
2019Q2,7,BF-default,0.9146115143781526,0.0357395372175824,21.385779999996885
2019Q2,101,Dynamic ET,0.9204924329791596,0.0362604560486666,2.9817694170051254
2019Q2,101,ET-aug,0.9196323352595862,0.0366789676313333,4.735384334009723
2019Q2,101,BF-default,0.9137415181426748,0.0357878000180363,21.361058459006017
2019Q2,2024,Dynamic ET,0.9205698771276,0.0362178696826666,3.087768917001086
2019Q2,2024,ET-aug,0.9199117545944056,0.036670696264,4.840114000005997
2019Q2,2024,BF-default,0.9137635004679928,0.0357516970588786,21.45497666700976
2019Q2,13,Dynamic ET,0.9210293578483002,0.036212385132,2.9176070839894237
2019Q2,13,ET-aug,0.9199081551089834,0.0366286880126666,5.135788916013553
2019Q2,13,BF-default,0.9145500107562344,0.0357117338431648,21.43968754199159
2019Q3,42,Dynamic ET,0.9276793392935596,0.0299720349683333,2.96676995800226
2019Q3,42,ET-aug,0.925981470541498,0.0305978975976666,4.965600541996537
2019Q3,42,BF-default,0.9265906876702116,0.0291632425254783,21.36154616699787
2019Q3,7,Dynamic ET,0.9278272584109656,0.0299483819996666,2.981084541999735
2019Q3,7,ET-aug,0.925776098417782,0.030597049772,5.005883958001505
2019Q3,7,BF-default,0.926106966568958,0.0291499267101646,21.4059758749936
2019Q3,101,Dynamic ET,0.9277678324373894,0.0299714277513333,3.0388817909988575
2019Q3,101,ET-aug,0.925635668085628,0.0306226872683333,5.0425102500012144
2019Q3,101,BF-default,0.925414354544418,0.0292503664914157,21.514420541992877
2019Q3,2024,Dynamic ET,0.9280837829231772,0.0299272177973333,2.969868416999816
2019Q3,2024,ET-aug,0.9259714415301412,0.0305662008486666,4.89825870799541
2019Q3,2024,BF-default,0.9263868954155856,0.0291489400183663,21.22996854200028
2019Q3,13,Dynamic ET,0.9278799573724384,0.0299344505966666,2.9502460840012645
2019Q3,13,ET-aug,0.9259122185994942,0.0305731740333333,4.84997516599833
2019Q3,13,BF-default,0.9259855250475446,0.0292059469571292,21.269594500001404
2019Q4,42,Dynamic ET,0.9141615713095856,0.0332043406256666,3.069497667005635
2019Q4,42,ET-aug,0.91261776393437,0.0336597097309999,4.692896207998274
2019Q4,42,BF-default,0.9079719112757856,0.0340693104666025,21.09890241699759
2019Q4,7,Dynamic ET,0.9142714527097496,0.0331084260949999,2.9633085840032436
2019Q4,7,ET-aug,0.91293049850222,0.0335661439779999,4.753953709005145
2019Q4,7,BF-default,0.9077621456199676,0.0341190735842519,21.096228249996784
2019Q4,101,Dynamic ET,0.9143507701219048,0.0332027682056666,2.9166257079923525
2019Q4,101,ET-aug,0.9123719940684746,0.0336441103586666,5.001519707991974
2019Q4,101,BF-default,0.9081579545718044,0.0341580532900055,21.10531070799334
2019Q4,2024,Dynamic ET,0.9149157326980748,0.0330433815703333,2.9768998329964234
2019Q4,2024,ET-aug,0.9127823621443898,0.0335997652706666,4.913581957996939
2019Q4,2024,BF-default,0.907727708731726,0.0341220196811062,21.21275308300392
2019Q4,13,Dynamic ET,0.9149249300089252,0.0329435699039999,3.0224280419934075
2019Q4,13,ET-aug,0.9129021624434202,0.0336399297843333,4.930323999986285
2019Q4,13,BF-default,0.9078264509455912,0.0343831273675949,21.298793458001455
2020Q1,42,Dynamic ET,0.6320320598156036,0.0977564524506666,2.9920892499940237
2020Q1,42,ET-aug,0.6295584910125774,0.0983999619626666,4.723884208011441
2020Q1,42,BF-default,0.6060278892477081,0.0987667573958437,20.92223029199522
2020Q1,7,Dynamic ET,0.6327394296943065,0.0976857391183333,3.059261709000566
2020Q1,7,ET-aug,0.6301409439113893,0.0983392223933333,4.92378962499788
2020Q1,7,BF-default,0.6047278107609781,0.0988467880342022,20.964975416995003
2020Q1,101,Dynamic ET,0.6318937470493996,0.097780567362,2.929123583002365
2020Q1,101,ET-aug,0.6288357193971666,0.0985276966316666,5.0255685000011
2020Q1,101,BF-default,0.606771631643084,0.0986811794073713,20.94311691699841
2020Q1,2024,Dynamic ET,0.6321515907931755,0.0977495133253333,2.9142659589997493
2020Q1,2024,ET-aug,0.6295998011858881,0.098450238899,4.68343029099924
2020Q1,2024,BF-default,0.6053349906505046,0.0987262588773137,20.992256541008828
2020Q1,13,Dynamic ET,0.6329176256865349,0.097740846774,2.919165500003146
2020Q1,13,ET-aug,0.6287157377900165,0.0984878366806666,4.558075792010641
2020Q1,13,BF-default,0.603595476032059,0.0988896392236625,20.96771104200161
2020Q2,42,Dynamic ET,0.8862312640923662,0.0609106951566666,2.954798959006439
2020Q2,42,ET-aug,0.8839545470260743,0.0612953615633333,4.770141333996435
2020Q2,42,BF-default,0.8785760849106302,0.060492125657757,21.443070334004005
2020Q2,7,Dynamic ET,0.8871741713886272,0.0608087819073333,2.944584416007274
2020Q2,7,ET-aug,0.88379640484184,0.06130134934,5.144219958994654
2020Q2,7,BF-default,0.8780103592304909,0.0604321918049307,21.55542908400821
2020Q2,101,Dynamic ET,0.8870959127230795,0.0608334998806666,3.183588875006535
2020Q2,101,ET-aug,0.8835164494989389,0.0613661723606666,4.999231541005429
2020Q2,101,BF-default,0.8784845140054063,0.0605688390979328,21.4718387920002
2020Q2,2024,Dynamic ET,0.8864018377209686,0.0608872082619999,2.9579047500010347
2020Q2,2024,ET-aug,0.8840547621516655,0.061298710748,4.91045862500323
2020Q2,2024,BF-default,0.8794994290993589,0.0604244038382941,21.391411000004155
2020Q2,13,Dynamic ET,0.8873049139771187,0.0606802482573333,2.990655457993853
2020Q2,13,ET-aug,0.8839659556775823,0.061262025014,4.859266125000431
2020Q2,13,BF-default,0.8786179627339346,0.0605500814653682,21.392201374997967
2020Q3,42,Dynamic ET,0.7496315150089418,0.0931913346226667,3.064801083994098
