seed,dataset,model,region,n,M,r2,mae
7,"12,110 American",RF,deep OTM,2524,8,-0.2067825491131181,0.15156791363745148
7,"12,110 American",RF,OTM,1812,8,-1.3160679229089753,0.1573352303647477
7,"12,110 American",RF,ATM,1934,8,-2.1139379287108038,0.15509980764842718
7,"12,110 American",RF,ITM,1586,8,-1.263299305162123,0.15796532598883442
7,"12,110 American",RF,deep ITM,3707,8,-0.6930467175050232,0.1768640589969206
101,2019 in-sample,Dynamic ET,all,893,8,0.5596306608050274,0.08110090414333689
101,2019 in-sample,Dynamic ET,OTM,278,8,0.5932931366370275,0.07882810366906455
101,2019 in-sample,Dynamic ET,ATM,320,8,0.7507374549838131,0.05763292965624993
101,2019 in-sample,Dynamic ET,ITM,273,8,0.40013228402824064,0.10348918622710596
101,2019 in-sample,ET-aug,all,893,8,0.5921279471454501,0.07653613963045892
101,2019 in-sample,ET-aug,OTM,278,8,0.6079566748223735,0.07568177017985586
101,2019 in-sample,ET-aug,ATM,320,8,0.7880466402794344,0.05264836787499999
101,2019 in-sample,ET-aug,ITM,273,8,0.458427605290486,0.09710437296703263
101,2019 in-sample,ET,all,893,8,0.6538939275652047,0.06887529835386329
101,2019 in-sample,ET,OTM,278,8,0.6624536951676394,0.06663977284172647
101,2019 in-sample,ET,ATM,320,8,0.8243307213278028,0.04725835959375015
101,2019 in-sample,ET,ITM,273,8,0.5449443663738484,0.08792772666666639
101,2019 in-sample,RF,all,893,8,0.6318969083785508,0.07363414266175494
101,2019 in-sample,RF,OTM,278,8,0.659100277626869,0.06946525902697445
101,2019 in-sample,RF,ATM,320,8,0.765543080141629,0.05243736048477542
101,2019 in-sample,RF,ITM,273,8,0.5363156373659923,0.09312421565777587
101,2017 European,Dynamic ET,all,1700,8,-0.36538740187316043,0.12720667324705862
101,2017 European,Dynamic ET,OTM,412,8,0.10688205537454198,0.10451335548543676
101,2017 European,Dynamic ET,ATM,772,8,-0.7988247785093514,0.13220320069948174
101,2017 European,Dynamic ET,ITM,494,8,-0.402194014645779,0.1378366265991899
101,2017 European,ET-aug,all,1700,8,-0.46795960311430873,0.13012562539411743
101,2017 European,ET-aug,OTM,412,8,0.05254630948982908,0.10530720652912604
101,2017 European,ET-aug,ATM,772,8,-0.9769024580967143,0.13698172046632112
101,2017 European,ET-aug,ITM,494,8,-0.4742069541222578,0.13996730999999962
101,2017 European,ET,all,1700,8,-0.6054286713674948,0.135449420870588
101,2017 European,ET,OTM,412,8,-0.03203332810911674,0.10725075851941733
101,2017 European,ET,ATM,772,8,-1.1492169231867648,0.14109909818652833
101,2017 European,ET,ITM,494,8,-0.6304196017404657,0.1498813563157891
101,2017 European,RF,all,1700,8,-0.6495821737872167,0.13470353908643132
101,2017 European,RF,OTM,412,8,-0.07350205252591291,0.10574404602531053
101,2017 European,RF,ATM,772,8,-1.1436279547979789,0.13897580309734495
101,2017 European,RF,ITM,494,8,-0.7506399084653004,0.15281984152437172
101,"12,110 American",Dynamic ET,all,11563,8,-0.14307706469923476,0.1440441743395313
101,"12,110 American",Dynamic ET,deep OTM,2524,8,0.05811173272753045,0.13726978078090332
101,"12,110 American",Dynamic ET,OTM,1812,8,-0.20033102206276077,0.12827358844867554
101,"12,110 American",Dynamic ET,ATM,1934,8,-0.6482928559129333,0.12420248553567739
101,"12,110 American",Dynamic ET,ITM,1586,8,-0.3381069927704248,0.12822125183291289
101,"12,110 American",Dynamic ET,deep ITM,3707,8,-0.5714775496497537,0.17348681049231196
101,"12,110 American",ET-aug,all,11563,8,-0.19961313279299242,0.14640091547799017
101,"12,110 American",ET-aug,deep OTM,2524,8,0.007097220838231388,0.14072742782369255
101,"12,110 American",ET-aug,OTM,1812,8,-0.31849494771648046,0.13247943964072853
